cod;Pais
1;Afeganistão
2;África do Sul
3;Albânia
4;Alemanha
5;Andorra
6;Angola
7;Anguilla
8;Antígua e Barbuda
9;Arábia Saudita
10;Argélia
11;Argentina
12;Armênia
13;Aruba
14;Austrália
15;Áustria
16;Azerbaijão
17;Bahamas
18;Bangladesh
19;Barbados
20;Barein
21;Bélgica
22;Belize
23;Benin
24;Bermuda
25;Bielorússia
26;Bolívia
27;Bósnia-Herzegovina
28;Botsuana
29;Brasil
30;Brunei
31;Bulgária
32;Burkina Faso
33;Burundi
34;Butão
35;Cabo Verde
36;Camarões
37;Camboja
38;Canadá
39;Casaquistão
40;Catar
41;Chade
42;Chile
43;China
44;China, Hong Kong
45;China, Macao
46;Chipre
47;Cingapura
48;Colômbia
49;Comores
50;Congo
51;Coréia do Norte
52;Coréia do Sul
53;Costa do Marfim
54;Costa Rica
55;Croácia
56;Cuba
57;Curaçao
58;Dinamarca
59;Djibouti
60;Dominica
61;Egito
62;El Salvador
63;Emirados Árabes Unidos
64;Equador
65;Eritréia
66;Eslováquia
67;Eslovênia
68;Espanha
69;Estados Unidos da América
70;Estônia
71;Etiópia
72;Fiji
73;Filipinas
74;Finlândia
75;França
76;Gabão
77;Gâmbia
78;Gana
79;Geórgia
80;Gibraltar
81;Granada
82;Grécia
83;Groenlândia
84;Guam
85;Guatemala
86;Guernsey
87;Guiana
88;Guiana Francesa
89;Guiné
90;Guiné Equatorial
91;Guiné-Bissau
92;Haiti
93;Holanda
94;Honduras
95;Hungria
96;Iêmen
97;Ilha Guadalupe
98;Ilha Norfolk
99;Ilha Reunião
100;Ilhas Cayman
101;Ilhas Cook
102;Ilhas Faeroe
103;Ilhas Falkland
104;Ilhas Marianas
105;Ilhas Marshall
106;Ilhas Salomão
107;Ilhas Turks e Caicos
108;Ilhas Virgens
109;Ilhas Virgens Britânicas
110;Ilhas Wallis e Futuna
111;Índia
112;Indonésia
113;Irã
114;Iraque
115;Irlanda
116;Islândia
117;Israel
118;Itália
119;Jamaica
120;Japão
121;Jersey
122;Jordânia
123;Kiribati
124;Kuwait
125;Laos
126;Lesoto
127;Letônia
128;Líbano
129;Libéria
130;Líbia
131;Liechtenstein
132;Lituânia
133;Luxemburgo
134;Macedônia
135;Madagáscar
136;Malásia
137;Malauí
138;Maldivas
139;Mali
140;Malta
141;Marrocos
142;Martinica
143;Maurício
144;Mauritânia
145;Mayotte
146;México
147;Mianma
148;Micronésia
149;Moçambique
150;Moldávia
151;Mônaco
152;Mongólia
153;Montenegro
154;Montserrat
155;Namíbia
156;Nauru
157;Nepal
158;Nicarágua
159;Níger
160;Nigéria
161;Niue
162;Noruega
163;Nova Caledônia
164;Nova Zelândia
165;Omã
166;Palau
167;Palestina
168;Panamá
169;Papua Nova Guiné
170;Paquistão
171;Paraguai
172;Peru
173;Polinésia Francesa
174;Polônia
175;Porto Rico
176;Portugal
177;Quênia
178;Quirguistão
179;Reino Unido
180;República Centro Africana
181;República Democrática do Congo
182;República Dominicana
183;República Tcheca
184;Romênia
185;Ruanda
186;Rússia (Federação Russa)
187;Saint Martin (parte holandesa)
188;Saint Pierre e Miquelon
189;Samoa
190;Samoa Americana
191;San Marino
192;Santa Helena
193;Santa Lúcia
194;São Cristóvão e Nevis
195;São Tome e Príncipe
196;São Vicente e Granadinas
197;Seichelles
198;Senegal
199;Serra Leoa
200;Sérvia
201;Síria
202;Somália
203;Sri Lanka
204;Suazilândia
205;Sudão
206;Sudão do Sul
207;Suécia
208;Suíça
209;Suriname
210;Tadjiquistão
211;Tailândia
212;Taiwan
213;Tanzânia
214;Timor Leste
215;Togo
216;Tokelau
217;Tonga
218;Trinidad e Tobago
219;Tunísia
220;Turcomenistão
221;Turquia
222;Tuvalu
223;Ucrânia
224;Uganda
225;Uruguai
226;Uzbequistão
227;Vanuatu
228;Venezuela
229;Vietnã
230;Zâmbia
231;Zimbábue
